"tick";"Projects under construction";"Projects awaiting investment decision";"Projects in concession queue";"Projects identifyed";"Potential projects";"Projects trashed";"Total plants and projects";"Powerplants Norway";"Powerplants Sweden"
0.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
1.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
2.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
3.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
4.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
5.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
6.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
7.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
8.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
9.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
10.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
11.0;84.0;145.0;107.0;68.0;40.0;0.0;481.0;2.0;35.0
12.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
13.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
14.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
15.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
16.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
17.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
18.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
19.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
20.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
21.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
22.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
23.0;51.0;145.0;107.0;68.0;40.0;0.0;481.0;5.0;65.0
24.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
25.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
26.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
27.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
28.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
29.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
30.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
31.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
32.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
33.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
34.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
35.0;31.0;145.0;107.0;68.0;40.0;0.0;481.0;7.0;83.0
36.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
37.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
38.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
39.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
40.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
41.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
42.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
43.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
44.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
45.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
46.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
47.0;23.0;135.0;109.0;92.0;14.0;0.0;481.0;8.0;100.0
48.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
49.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
50.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
51.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
52.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
53.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
54.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
55.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
56.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
57.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
58.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
59.0;17.0;164.0;72.0;106.0;0.0;0.0;481.0;13.0;109.0
60.0;19.0;174.0;49.0;106.0;0.0;0.0;481.0;16.0;117.0
61.0;19.0;174.0;49.0;106.0;0.0;0.0;481.0;16.0;117.0
